"Subscriptions Alerts","Subscriptions Alerts"
"Downloadable subscription/recurring payment","Downloadable subscription/recurring payment"
"Configurable subscription/recurring payment","Configurable subscription/recurring payment"
"Grouped subscription/recurring payment","Grouped subscription/recurring payment"
"Show \"Next payment\" column at customer account","Show \"Next payment\" column at customer account"
"Show \"Next delivery\" column at customer account","Show \"Next delivery\" column at customer account"
"Show \"Order amount\" column at customer account","Show \"Order amount\" column at customer account"
"Show \"Expire date\" column at customer account","Show \"Expire date\" column at customer account"
"Activate on order status","Activate on order status"
"Alerts sender","Alerts sender"
"No subsription","No subsription"
"Delivery notice","Delivery notice"
"Subscription from","Subscription from"
"Last order amount","Last order amount"
"No subscription","No subscription"
"Delivery Notice","Delivery Notice"
"My subscriptions","My subscriptions"
"My Subscriptions","My Subscriptions"
"First Period Price","First Period Price"
"This subscription isn\'t belong this customer!","This subscription isn\'t belong this customer!"
"Oops! Something going wrong and now you have suspended subscriptions.","Oops! Something going wrong and now you have suspended subscriptions."
"You have suspended subscriptions!","You have suspended subscriptions!"
"Period must be more 0","Period must be more 0"
"Can not save period. %s","Can not save period. %s"
